id;longitude;latitude;name;name_en;name_fr;name_es;name_de;name_it;visit_time_min;visit_time_max;price_min;price_max;type_id;street;postal_code;phone;mail;website;resa_link;url_img1;url_img2;desc;desc_en;desc_fr;desc_es;desc_de;desc_it;withchild
1;5.39080135635133;43.2839011618749;Jardin de Corinthe;;;;;;20;60;-1;-1;1;Avenue de Corinthe;13006;;;;;;;Jardins;;;;;;1
2;5.38350090781478;43.2934222036574;Pablo Casals;;;;;;20;60;-1;-1;1;Cours Julien;13006;;;;;;;Jardins;;;;;;1
3;5.39645905606964;43.2754827334116;Square Raymond Teisseire;;;;;;20;60;-1;-1;1;Rue Raymond Teisseire;13008;;;;;;;Jardins;;;;;;1
4;5.35282596163265;43.2868993735963;Jardin de Bénedetti;;;;;;20;60;-1;-1;1;Boulevard de la Rade;13007;;;;;;;Jardins;;;;;;1
5;5.37473900379804;43.2776858615237;Jardin Perier;;;;;;20;60;-1;-1;1;Boulevard Perier;13008;;;;;;;Jardins;;;;;;1
6;5.46795999168269;43.286187877396;Jardin de Saint Marcel;;;;;;20;60;-1;-1;1;Boulevard de Saint Marcel;13011;;;;;;;Jardins;;;;;;1
7;5.36327844207893;43.3680858287123;Jardin du Vallon des Tuves;;;;;;20;60;-1;-1;1;Boulevard du Bosphore;13015;;;;;;;Jardins;;;;;;1
8;5.353858676019;43.3729037598289;Jardin Pigala;;;;;;20;60;-1;-1;1;Impasse Pigala;13015;;;;;;;Jardins;;;;;;1
9;5.39961066554789;43.2924938495599;Jardin Fraissinet;;;;;;20;60;-1;-1;1;Rue Saint Pierre;13005;;;;;;;Jardins;;;;;;1
10;5.43552712619015;43.3343661815948;Parc Val Plan;;;;;;20;60;-1;-1;1;Rue Léon d'Astros;13013;;;;;;;Jardins;;;;;;1
11;5.41122246738705;43.2832795796457;Jardin Mireille Lauze;;;;;;20;60;-1;-1;1;Boulevard Mireille Lauze;13010;;;;;;;Jardins;;;;;;1
12;5.39365462227861;43.3046480215993;Square Stéphan;;;;;;20;60;-1;-1;1;Rue Edouard Stéphan;13004;;;;;;;Jardins;;;;;;1
